"asset_id","site_id","asset_order","asset_label","asset_text","power_source_id","asset_subtype_id","status_id","capacity_value","capacity_unit","schedule_text"
"dangjin_asset_01","dangjin","1","석탄화력","2025.5 기준 당진 석탄 6,040MW로 정리되어 있습니다.","thermal","","operating","6,040","MW","2025.5 기준"
"dangjin_asset_02","dangjin","2","태양광","2025.5 기준 당진 태양광 114.5MW가 확인됩니다.","solar","site_solar","operating","114.5","MW","2025.5 기준"
"dangjin_asset_03","dangjin","3","암모니아 혼소","당진 9호기는 암모니아 20% 혼소 실증부지로 별도 추진됩니다.","ammonia","","demo","","",""
"dangjin_asset_04","dangjin","4","LNG 연료전환","당진 1~6호기는 2024~2036년 LNG 연료전환 대상으로 제시됩니다.","lng","","transition","","","2024~2036"
"dangjin_asset_05","dangjin","5","순환자원 연료화","커피박 연료 상용화, 당진본부 연간 2만톤 사용 기반, 바이오연료 발전수익 121억원, 수입탄 대체 4.3만톤→4.7만톤 항목이 폐자원 연료화로 연결됩니다.","waste_resource","","operating","","",""
"dangjin_asset_06","dangjin","6","무탄소 전환","당진 7~8호기는 2037~2038년 양수, 수소전소, 암모니아 혼소 등 무탄소 위주 전환 대상으로 제시됩니다.","hydrogen","","transition","","","2037~2038"
"donghae_asset_01","donghae","1","석탄·유동층","2025.5 기준 동해 석탄 400MW로 정리되어 있습니다.","thermal","","operating","400","MW","2025.5 기준"
"donghae_asset_02","donghae","2","LNG 전환","동해 1·2호기는 2024~2036년 LNG 연료전환 대상으로 제시됩니다.","lng","","transition","","","2024~2036"
"donghae_asset_03","donghae","3","바이오매스","동해발전본부 바이오매스 30MW가 확인됩니다.","biomass","biomass_power","operating","30","MW",""
"donghae_asset_04","donghae","4","태양광","2025.5 기준 동해 태양광 8.5MW가 확인됩니다.","solar","site_solar","operating","8.5","MW","2025.5 기준"
"donghae_asset_05","donghae","5","연료전지","연료전지 19.2MW가 동해 항목으로 정리되어 있습니다.","hydrogen","","operating","19.2","MW",""
"ulsan_asset_04","ulsan","1","울산 1복합 LNG 복합설비 맥락","LNG 페이지에서 울산 1복합은 별도 수소혼소 실증 대상으로 확인되지만, 해당 발췌는 울산 항목을 LNG 현황표처럼 직접 확정하지 않습니다. 따라서 울산은 산업단지 전력공급·기존 복합설비 맥락 아래에서 보고, 300MW·수소 50%·실증 일정은 수소 발전원에 둡니다.","lng","","check","","",""
"ulsan_asset_01","ulsan","2","울산 1복합 수소혼소","300MW 수소혼소 터빈 기술개발 및 실증 과제입니다. 목표는 수소 50% 혼소로 정리되어 있습니다.","hydrogen","","demo","300","MW","2023.4 개발착수|2025.6~ 설비 착·준공|2027.12~ 실증 및 성능평가"
"ulsan_asset_02","ulsan","3","수소혼소 실증 일정","개발착수 2023.4, 설비 착·준공 2025.6~, 실증 및 성능평가 2027.12~로 정리되어 있습니다.","hydrogen","","demo","","","2023.4 개발착수|2025.6~ 설비 착·준공|2027.12~ 실증 및 성능평가"
"ulsan_asset_03","ulsan","4","연료전지","울산 연료전지 13.3MW가 확인됩니다.","hydrogen","","operating","13.3","MW",""
"ulsan_asset_05","ulsan","5","태양광","2025.5 기준 울산 태양광 1.4MW가 확인됩니다.","solar","site_solar","operating","1.4","MW","2025.5 기준"
"ulsan_asset_06","ulsan","6","울산 풍력 운영","울산 풍력단지 37.5MW 운영 항목입니다.","wind","onshore_wind","operating","37.5","MW",""
"ulsan_asset_07","ulsan","7","울산 풍력 개발","울산 63MW 개발 항목입니다. 운영 중 풍력과 분리해야 합니다.","wind","onshore_wind","planned","63","MW",""
"ulsan_asset_08","ulsan","8","울산부유식 해상풍력","울산부유식 해상풍력 개발 항목입니다. 제공 근거에는 세부 용량이나 준공 시점이 없습니다.","wind","floating_offshore_wind","planned","","",""
"ilsan_asset_01","ilsan","1","LNG 복합·열병합","일산 열병합발전소는 LNG복합으로 확인됩니다.","lng","","operating","","",""
"ilsan_asset_02","ilsan","2","대체건설","일산 대체건설 900MW 허가 취득 항목이 정리되어 있습니다.","lng","","planned","900","MW",""
"ilsan_asset_03","ilsan","3","연료전지","일산 연료전지 5.3MW가 확인됩니다.","hydrogen","","operating","5.3","MW",""
"ilsan_asset_04","ilsan","4","열공급","지역난방 열공급과 발전을 함께 보는 열병합 설명에 적합합니다.","lng","","operating","","",""
"eumseong_asset_01","eumseong","1","LNG 천연가스발전","음성천연가스발전소는 LNG가 원료인 발전소로 정리되어 있습니다.","lng","","planned","","",""
"eumseong_asset_02","eumseong","2","수소혼소 적용","LNG 발전소에 수소혼소를 적용하는 계획이 확인됩니다.","hydrogen","","planned","","",""
"eumseong_asset_03","eumseong","3","BIPV","음성복합 건축물 3개소 약 100kW 규모 BIPV 적용 설계 완료 항목입니다.","solar","bipv","planned","100","kW",""
"shin-honam_asset_01","shin-honam","1","LNG 복합 건설","신호남은 LNG 복합발전소 건설 맥락으로 상위 정리 페이지에 연결되어 있습니다.","lng","","planned","","",""
"shin-honam_asset_02","shin-honam","2","연료전지","신호남 연료전지 15.0MW가 확인됩니다.","hydrogen","","operating","15.0","MW",""
"shin-honam_asset_03","shin-honam","3","태양광 등 신재생","신호남은 연료전지·태양광 등 신재생 운영 흐름과 연결됩니다.","solar","site_solar","operating","","",""
