"site_id","site_name","region","lat","lng","primary_power_source_id","site_status_id","summary"
"dangjin","당진발전본부","충남 당진","37.045","126.515","thermal","mixed","동서발전의 대용량 유연탄 운영축입니다. 면접에서는 잔여 석탄 운영, LNG 전환, 무탄소 전환, 암모니아 혼소 실증을 한 덩어리로 봐야 합니다."
"donghae","동해발전본부","강원 동해","37.522","129.114","thermal","mixed","무연탄 유동층 발전과 바이오매스 성격을 같이 봐야 하는 지점입니다. 연료 성상 변화, 유동층 보일러, 배출관리 질문과 연결하기 좋습니다."
"ulsan","울산발전본부","울산","35.51","129.37","lng","mixed","LNG 복합설비·산업단지 전력공급 맥락과 울산 1복합 수소혼소 실증을 분리해서 봐야 하는 지점입니다. LNG는 기존 복합설비 맥락, 수소는 300MW 실증 일정으로 나눠 정리합니다."
"ilsan","일산발전본부","경기 고양","37.655","126.77","lng","mixed","LNG 복합화력, 열병합, 지역난방 열공급, 연료전지를 한 번에 연결하기 좋은 사업소입니다."
"eumseong","음성발전본부","충북 음성","36.94","127.69","lng","planned","천연가스발전소와 수소혼소 적용 계획을 같이 봐야 하는 지점입니다. LNG 브릿지 전원에서 무탄소 연료 혼소로 넘어가는 흐름을 설명하기 좋습니다."
"shin-honam","신호남건설추진본부","전남권","34.79","127.66","lng","mixed","기존 호남 석탄 폐지 이후 LNG 복합과 신재생으로 전환되는 흐름을 보여주는 지점입니다."
"jeju","제주 청정에너지 복합사업","제주","33.49","126.53","storage","mixed","제주 계통 안정, 가스복합(수소), BESS, 태양광, 바이오중유 전환, 소수력 개발을 함께 보는 개발사업 묶음입니다."
"yongin","용인 LNG복합 개발","경기 용인","37.24","127.18","hydrogen","construction","건설 중 가스복합(수소) 1,000MW, 2030년 준공 예정 항목입니다. 기존 사업소 운영 현황이 아니라 향후 수소 대응 복합설비 흐름으로 보는 편이 안전합니다."
"gokseong","곡성에너지파크 양수","전남 곡성","35.28","127.29","storage","planned","동서발전 양수의 핵심 사업권·건설 항목입니다. 운영 중 양수가 아니라 건설 예정·사업권 항목으로 구분해야 합니다."
"windbelt","동해안 WindBelt","경북·강원 동해안","37.35","129.26","wind","mixed","풍력 운영·건설·개발이 섞인 광역 묶음입니다. 상태를 구분하지 않으면 수치 답변이 쉽게 틀립니다."
"daeho-floating-solar","대호호 수상태양광","충남 당진·서산","36.91","126.49","solar","operating","대호호 98MW 수상태양광은 2024.11 상업운전, 2024.12.11 준공으로 정리됩니다."
"haechangman-floating-solar","해창만 수상태양광","전남 고흥","34.59","127.32","solar","operating","해창만 98MW 수상태양광은 2023년 준공으로 정리됩니다."
"yanggu-floating-solar","양구 수상태양광","강원 양구","38.11","127.99","solar","operating","양구 수상태양광 8.8MW는 11월 준공 항목으로 정리됩니다. 기준연도는 추가 확인이 필요합니다."
"baekgok-floating-solar","백곡저수지 수상태양광","충북 진천","36.87","127.44","solar","proposed","백곡저수지 40MW 수상태양광은 최초제안자 지위 확보 단계로 정리됩니다."
"solar-portfolio","태양광 사업 포트폴리오","전국","36.50","127.80","solar","mixed","지붕태양광, 영농형 태양광, RE100·PPA 모델처럼 위치가 복수인 태양광 사업 묶음입니다."
"seokmun-biomass","석문집단에너지 바이오매스","충남 당진","37.01","126.59","biomass","operating","석문집단에너지 바이오매스 38.9MW는 동해 바이오매스 30MW와 별도로 관리해야 하는 항목입니다."
"ess-portfolio","ESS 운영 포트폴리오","전국","36.45","127.85","storage","mixed","ESS 165.6MWh 운영 집계와 BESS 추진 방향을 분리해 보는 전사 포트폴리오 항목입니다. MW 출력과 MWh 저장량을 섞으면 안 됩니다."
